name,radius,period,duration,source
TOI-1167.01,4.96345,15.196,1.792,TESS
TOI-1168.01,23.6019,2.1358631,1.559,TESS
TOI-1169.01,17.4647,6.7075429,2.125,TESS
TOI-117.01,16.4747611,3.5862962,3.3710943,TESS
TOI-1170.01,29.3616,1.8296155,2.166,TESS
TOI-1171.01,31.8624,11.1876137,3.183,TESS
TOI-1173.01,9.39131,7.0643978,2.424,TESS
TOI-1174.01,2.35888,8.9534775,2.696,TESS
TOI-1175.01,5.55812,7.5022708,2.605,TESS
TOI-1176.01,12.4023108,14.0077666,5.8727493,TESS
TOI-1177.01,11.2371,1.692892,2.886,TESS
TOI-1178.01,2.35964,2.6652007,3.49,TESS
TOI-1179.01,8.67407,1.2615323,1.039,TESS
TOI-118.01,4.44029,6.0344667,1.89,TESS
TOI-1180.01,3.00336,9.6867516,2.512,TESS
TOI-1181.01,16.7087,2.1031647,5.059,TESS
TOI-1182.01,27.538,7.6416041,2.654,TESS
TOI-1183.01,10.8101,5.9294088,2.933,TESS
TOI-1184.01,2.35215,5.7484439,1.76,TESS
TOI-1185.01,10.3239,1.1967018,1.879,TESS
TOI-1186.01,17.6677,11.2464616,7.391,TESS
TOI-1187.01,4.47229,2.5941968,0.861,TESS
TOI-119.01,2.04482,5.5411114,2.467,TESS
TOI-119.02,1.79811,10.6917268,3.002,TESS
TOI-1190.01,14.1288,3.6950015,4.515,TESS
TOI-1191.01,24.3218,15.7335693,3.288,TESS
TOI-1192.01,28.3312,45.9403293,3.768,TESS
TOI-1193.01,15.4416,2.2219839,1.996,TESS
TOI-1194.01,8.76741,2.3106428,1.294,TESS
TOI-1195.01,14.2359,4.05135,2.4,TESS
TOI-1196.01,15.6557,5.5376617,2.517,TESS
TOI-1197.01,16.2166,4.5960377,4.744,TESS
TOI-1198.01,19.3662,3.612771,4.142,TESS
TOI-1199.01,10.678,3.6714717,2.149,TESS
TOI-120.01,12.215808,11.535076,8.555958,TESS
TOI-1200.01,6.4875,0.8352406,1.043,TESS
TOI-1201.01,2.2187585,2.4919771,1.4338141,TESS
TOI-1203.01,2.9641461,25.5195307,6.6877451,TESS
TOI-1204.01,2.2402361,1.3812115,2.7372191,TESS
TOI-1205.01,3.5905923,2.3922703,9.0053425,TESS
TOI-1206.01,1.881684,0.831542,1.985538,TESS
TOI-1207.01,0.9817044,2.6282553,2.0930597,TESS
TOI-1208.01,1.7581475,3.4239436,1.9601023,TESS
TOI-1208.02,2.5070075,10.983042,3.7478987,TESS
TOI-1208.03,2.261664,17.726449,3.4404719,TESS
TOI-1209.01,3.2352713,40.7199388,4.2436925,TESS
TOI-121.01,15.3936,14.7741056,5.504,TESS
TOI-1210.01,2.17454,79.3739596,5.392,TESS
TOI-1211.01,2.80447,18.1663644,2.464,TESS
TOI-1212.01,2.5033335,105.5850893,11.6068811,TESS
TOI-1213.01,8.3475973,27.2149622,3.7190483,TESS
